Match_id,Date,Map,Score,K,D,A,plusBYmin,HScent,ADR,a1v5,a1v4,a1v3,a1v2,a1v1,a5k,a4k,a3k,Rating
11339305,15th Jun 2020 17:06:17,de_mirage,14:16,28,24,6,4,25,101,0,0,0,0,0,0,0,3,1.23
11514866,18th Jun 2020 18:12:55,de_mirage,16:8,13,13,5,0,23,70,0,0,0,0,0,0,0,1,0.95
11516463,18th Jun 2020 18:55:51,de_cache,8:16,12,18,9,-6,58,73,0,0,0,0,1,0,0,0,0.72
